method,corruption,severity,accuracy,mean_entropy,update_ratio
eg_mix_batch,shot_noise,3,0.7625,0.3688719868659973,0.6197963356971741
eg_mix_sample,shot_noise,3,0.7385,0.24723491072654724,0.5717309713363647
disagree_aware_mix,shot_noise,3,0.7342,0.2694544494152069,0.719248354434967
probe_commit_tent,shot_noise,3,0.5287,0.44840487837791443,0.0
probe_commit_tent_loose,shot_noise,3,0.5342,0.4445038437843323,0.0379746835443038
source_mix_tent_075,shot_noise,3,0.7769,0.346577525138855,1.0
source_only,shot_noise,4,0.441,0.5018166303634644,0.0
bn_adapt,shot_noise,4,0.7377,0.35113734006881714,1.0
tent,shot_noise,4,0.742,0.3390674293041229,1.0
ug_tent,shot_noise,4,0.7416,0.3394671678543091,0.8122
eg_mix_batch,shot_noise,4,0.7311,0.41140225529670715,0.6504000425338745
eg_mix_sample,shot_noise,4,0.7006,0.27719372510910034,0.5879849791526794
disagree_aware_mix,shot_noise,4,0.6955,0.2912750840187073,0.6983143091201782
probe_commit_tent,shot_noise,4,0.441,0.5018166303634644,0.0
probe_commit_tent_loose,shot_noise,4,0.441,0.5018166303634644,0.0
source_mix_tent_075,shot_noise,4,0.7446,0.3869655728340149,1.0
source_only,shot_noise,5,0.3221,0.5568898916244507,0.0
bn_adapt,shot_noise,5,0.6977,0.38816192746162415,1.0
tent,shot_noise,5,0.7004,0.37518006563186646,1.0
ug_tent,shot_noise,5,0.7008,0.376127690076828,0.796
eg_mix_batch,shot_noise,5,0.6811,0.4761802852153778,0.6693223118782043
eg_mix_sample,shot_noise,5,0.6385,0.3270252048969269,0.5983147621154785
disagree_aware_mix,shot_noise,5,0.632,0.3356325626373291,0.6719663143157959
probe_commit_tent,shot_noise,5,0.3221,0.5568898916244507,0.0
probe_commit_tent_loose,shot_noise,5,0.3221,0.5568898916244507,0.0
source_mix_tent_075,shot_noise,5,0.694,0.44849252700805664,1.0
source_only,motion_blur,1,0.8387,0.2451905459165573,0.0
bn_adapt,motion_blur,1,0.8726,0.22607101500034332,1.0
tent,motion_blur,1,0.8743,0.21822917461395264,1.0
ug_tent,motion_blur,1,0.8739,0.21891850233078003,0.8867
eg_mix_batch,motion_blur,1,0.8759,0.22187097370624542,0.5031694173812866
eg_mix_sample,motion_blur,1,0.8777,0.1721571981906891,0.5013260245323181
disagree_aware_mix,motion_blur,1,0.8769,0.20065942406654358,0.8089539408683777
probe_commit_tent,motion_blur,1,0.8573,0.2229233682155609,0.4936708860759494
probe_commit_tent_loose,motion_blur,1,0.87,0.21730442345142365,0.810126582278481
source_mix_tent_075,motion_blur,1,0.8792,0.21744394302368164,1.0
source_only,motion_blur,2,0.7518,0.3503359258174896,0.0
bn_adapt,motion_blur,2,0.8487,0.24573110044002533,1.0
tent,motion_blur,2,0.8501,0.2374207079410553,1.0
ug_tent,motion_blur,2,0.8508,0.23802708089351654,0.8767
eg_mix_batch,motion_blur,2,0.8459,0.2657029628753662,0.5976909399032593
eg_mix_sample,motion_blur,2,0.8422,0.1957847625017166,0.5541077852249146
disagree_aware_mix,motion_blur,2,0.8419,0.21859905123710632,0.7946959733963013
probe_commit_tent,motion_blur,2,0.7913,0.2969736158847809,0.4430379746835443
probe_commit_tent_loose,motion_blur,2,0.8503,0.23760734498500824,0.9873417721518988
source_mix_tent_075,motion_blur,2,0.853,0.2527933716773987,1.0
source_only,motion_blur,3,0.6604,0.44711729884147644,0.0
bn_adapt,motion_blur,3,0.8291,0.2747292220592499,1.0
tent,motion_blur,3,0.8305,0.26533499360084534,1.0
ug_tent,motion_blur,3,0.8299,0.2661801278591156,0.8587
eg_mix_batch,motion_blur,3,0.8211,0.3079618513584137,0.6684828400611877
eg_mix_sample,motion_blur,3,0.8113,0.22677788138389587,0.5932677388191223
disagree_aware_mix,motion_blur,3,0.8107,0.24793095886707306,0.7864202857017517
probe_commit_tent,motion_blur,3,0.6648,0.4412926137447357,0.0379746835443038
probe_commit_tent_loose,motion_blur,3,0.8201,0.2760477662086487,0.9367088607594937
source_mix_tent_075,motion_blur,3,0.8284,0.29612305760383606,1.0
source_only,motion_blur,4,0.664,0.44445157051086426,0.0
bn_adapt,motion_blur,4,0.8249,0.27327731251716614,1.0
tent,motion_blur,4,0.8262,0.2644835114479065,1.0
ug_tent,motion_blur,4,0.8266,0.2650804817676544,0.8618
eg_mix_batch,motion_blur,4,0.8226,0.30761101841926575,0.6664336919784546
eg_mix_sample,motion_blur,4,0.8117,0.22861498594284058,0.5928753614425659
disagree_aware_mix,motion_blur,4,0.8108,0.24832695722579956,0.7843070030212402
probe_commit_tent,motion_blur,4,0.6782,0.4268251359462738,0.10126582278481013
probe_commit_tent_loose,motion_blur,4,0.8091,0.2790684103965759,0.9113924050632911
source_mix_tent_075,motion_blur,4,0.8277,0.29538780450820923,1.0
source_only,motion_blur,5,0.5876,0.5214758515357971,0.0
bn_adapt,motion_blur,5,0.8032,0.29486802220344543,1.0
tent,motion_blur,5,0.8047,0.2853067219257355,1.0
ug_tent,motion_blur,5,0.8045,0.28575676679611206,0.8485
eg_mix_batch,motion_blur,5,0.7978,0.33198636770248413,0.7156928777694702
eg_mix_sample,motion_blur,5,0.7798,0.25045886635780334,0.6224886178970337
disagree_aware_mix,motion_blur,5,0.7789,0.270658940076828,0.7810242176055908
probe_commit_tent,motion_blur,5,0.5897,0.518364429473877,0.012658227848101266
probe_commit_tent_loose,motion_blur,5,0.7659,0.32163530588150024,0.8227848101265823
source_mix_tent_075,motion_blur,5,0.8007,0.3266599774360657,1.0
source_only,brightness,1,0.9068,0.152382031083107,0.0
bn_adapt,brightness,1,0.8942,0.2029518187046051,1.0
tent,brightness,1,0.895,0.1946108490228653,1.0
ug_tent,brightness,1,0.895,0.19528897106647491,0.9029
eg_mix_batch,brightness,1,0.9086,0.16384203732013702,0.4291044771671295
eg_mix_sample,brightness,1,0.9077,0.14150558412075043,0.45003440976142883
disagree_aware_mix,brightness,1,0.9077,0.17520356178283691,0.8237308859825134
probe_commit_tent,brightness,1,0.9068,0.152382031083107,0.0
probe_commit_tent_loose,brightness,1,0.9068,0.152382031083107,0.0
source_mix_tent_075,brightness,1,0.903,0.17845065891742706,1.0
source_only,brightness,2,0.9009,0.15904982388019562,0.0
bn_adapt,brightness,2,0.8913,0.20544025301933289,1.0
tent,brightness,2,0.8923,0.19706977903842926,1.0
ug_tent,brightness,2,0.8925,0.19761775434017181,0.9013
eg_mix_batch,brightness,2,0.9058,0.16865773499011993,0.43378886580467224
